study_name,trial_id,tumor_lineage,tumor_type,lymphoma_subtype,regimen,ICI_agent,ICI_class,chemotherapy_context,timing_architecture,steroid_core_regimen_available,endpoint_label_in_source,endpoint_taxonomy,safety_N,events,rate_percent,grade,source_tier,quantitative_role,source_file_or_url,extraction_note,eligibility_for_primary_pooling,reason_excluded_from_primary_pooling
KEYNOTE-006,,solid,advanced melanoma,,pembrolizumab q3w,,,,,unclear,hypothyroidism,strict irAE,277,24,8.7,any grade,primary_manuscript_or_appendix,primary_endpoint_stratum,https://www.nejm.org/doi/full/10.1056/NEJMoa1503093,NEJM Table 2; adverse events of special interest provided regardless of attribution. PDF text archived at sources/keynote006_nejm_pdf.txt.,yes,
KEYNOTE-006,,solid,advanced melanoma,,pembrolizumab q3w,,,,,unclear,hypothyroidism,strict irAE,277,0,0.0,grade >=3,primary_manuscript_or_appendix,primary_endpoint_stratum,https://www.nejm.org/doi/full/10.1056/NEJMoa1503093,NEJM Table 2; adverse events of special interest provided regardless of attribution. PDF text archived at sources/keynote006_nejm_pdf.txt.,yes,
KEYNOTE-006,,solid,advanced melanoma,,pembrolizumab q3w,,,,,unclear,hyperthyroidism,strict irAE,277,9,3.2,any grade,primary_manuscript_or_appendix,primary_endpoint_stratum,https://www.nejm.org/doi/full/10.1056/NEJMoa1503093,NEJM Table 2; adverse events of special interest provided regardless of attribution. PDF text archived at sources/keynote006_nejm_pdf.txt.,yes,
KEYNOTE-006,,solid,advanced melanoma,,pembrolizumab q3w,,,,,unclear,hyperthyroidism,strict irAE,277,0,0.0,grade >=3,primary_manuscript_or_appendix,primary_endpoint_stratum,https://www.nejm.org/doi/full/10.1056/NEJMoa1503093,NEJM Table 2; adverse events of special interest provided regardless of attribution. PDF text archived at sources/keynote006_nejm_pdf.txt.,yes,
KEYNOTE-006,,solid,advanced melanoma,,pembrolizumab q3w,,,,,unclear,colitis,strict irAE,277,10,3.6,any grade,primary_manuscript_or_appendix,primary_endpoint_stratum,https://www.nejm.org/doi/full/10.1056/NEJMoa1503093,NEJM Table 2; adverse events of special interest provided regardless of attribution. PDF text archived at sources/keynote006_nejm_pdf.txt.,yes,
KEYNOTE-006,,solid,advanced melanoma,,pembrolizumab q3w,,,,,unclear,colitis,strict irAE,277,7,2.5,grade >=3,primary_manuscript_or_appendix,primary_endpoint_stratum,https://www.nejm.org/doi/full/10.1056/NEJMoa1503093,NEJM Table 2; adverse events of special interest provided regardless of attribution. PDF text archived at sources/keynote006_nejm_pdf.txt.,yes,
KEYNOTE-006,,solid,advanced melanoma,,pembrolizumab q3w,,,,,unclear,hepatitis,strict irAE,277,5,1.8,any grade,primary_manuscript_or_appendix,primary_endpoint_stratum,https://www.nejm.org/doi/full/10.1056/NEJMoa1503093,NEJM Table 2; adverse events of special interest provided regardless of attribution. PDF text archived at sources/keynote006_nejm_pdf.txt.,yes,
KEYNOTE-006,,solid,advanced melanoma,,pembrolizumab q3w,,,,,unclear,hepatitis,strict irAE,277,5,1.8,grade >=3,primary_manuscript_or_appendix,primary_endpoint_stratum,https://www.nejm.org/doi/full/10.1056/NEJMoa1503093,NEJM Table 2; adverse events of special interest provided regardless of attribution. PDF text archived at sources/keynote006_nejm_pdf.txt.,yes,
KEYNOTE-006,,solid,advanced melanoma,,pembrolizumab q3w,,,,,unclear,hypophysitis,strict irAE,277,2,0.7,any grade,primary_manuscript_or_appendix,primary_endpoint_stratum,https://www.nejm.org/doi/full/10.1056/NEJMoa1503093,NEJM Table 2; adverse events of special interest provided regardless of attribution. PDF text archived at sources/keynote006_nejm_pdf.txt.,yes,
KEYNOTE-006,,solid,advanced melanoma,,pembrolizumab q3w,,,,,unclear,hypophysitis,strict irAE,277,1,0.4,grade >=3,primary_manuscript_or_appendix,primary_endpoint_stratum,https://www.nejm.org/doi/full/10.1056/NEJMoa1503093,NEJM Table 2; adverse events of special interest provided regardless of attribution. PDF text archived at sources/keynote006_nejm_pdf.txt.,yes,
KEYNOTE-006,,solid,advanced melanoma,,pembrolizumab q3w,,,,,unclear,pneumonitis,strict irAE,277,5,1.8,any grade,primary_manuscript_or_appendix,primary_endpoint_stratum,https://www.nejm.org/doi/full/10.1056/NEJMoa1503093,NEJM Table 2; adverse events of special interest provided regardless of attribution. PDF text archived at sources/keynote006_nejm_pdf.txt.,yes,
KEYNOTE-006,,solid,advanced melanoma,,pembrolizumab q3w,,,,,unclear,pneumonitis,strict irAE,277,1,0.4,grade >=3,primary_manuscript_or_appendix,primary_endpoint_stratum,https://www.nejm.org/doi/full/10.1056/NEJMoa1503093,NEJM Table 2; adverse events of special interest provided regardless of attribution. PDF text archived at sources/keynote006_nejm_pdf.txt.,yes,
KEYNOTE-006,,solid,advanced melanoma,,pembrolizumab q3w,,,,,unclear,type 1 diabetes mellitus,strict irAE,277,1,0.4,any grade,primary_manuscript_or_appendix,primary_endpoint_stratum,https://www.nejm.org/doi/full/10.1056/NEJMoa1503093,NEJM Table 2; adverse events of special interest provided regardless of attribution. PDF text archived at sources/keynote006_nejm_pdf.txt.,yes,
KEYNOTE-006,,solid,advanced melanoma,,pembrolizumab q3w,,,,,unclear,type 1 diabetes mellitus,strict irAE,277,1,0.4,grade >=3,primary_manuscript_or_appendix,primary_endpoint_stratum,https://www.nejm.org/doi/full/10.1056/NEJMoa1503093,NEJM Table 2; adverse events of special interest provided regardless of attribution. PDF text archived at sources/keynote006_nejm_pdf.txt.,yes,
KEYNOTE-006,,solid,advanced melanoma,,pembrolizumab q3w,,,,,unclear,uveitis,strict irAE,277,3,1.1,any grade,primary_manuscript_or_appendix,primary_endpoint_stratum,https://www.nejm.org/doi/full/10.1056/NEJMoa1503093,NEJM Table 2; adverse events of special interest provided regardless of attribution. PDF text archived at sources/keynote006_nejm_pdf.txt.,yes,
KEYNOTE-006,,solid,advanced melanoma,,pembrolizumab q3w,,,,,unclear,uveitis,strict irAE,277,0,0.0,grade >=3,primary_manuscript_or_appendix,primary_endpoint_stratum,https://www.nejm.org/doi/full/10.1056/NEJMoa1503093,NEJM Table 2; adverse events of special interest provided regardless of attribution. PDF text archived at sources/keynote006_nejm_pdf.txt.,yes,
KEYNOTE-006,,solid,advanced melanoma,,pembrolizumab q3w,,,,,unclear,myositis,strict irAE,277,2,0.7,any grade,primary_manuscript_or_appendix,primary_endpoint_stratum,https://www.nejm.org/doi/full/10.1056/NEJMoa1503093,NEJM Table 2; adverse events of special interest provided regardless of attribution. PDF text archived at sources/keynote006_nejm_pdf.txt.,yes,
KEYNOTE-006,,solid,advanced melanoma,,pembrolizumab q3w,,,,,unclear,myositis,strict irAE,277,0,0.0,grade >=3,primary_manuscript_or_appendix,primary_endpoint_stratum,https://www.nejm.org/doi/full/10.1056/NEJMoa1503093,NEJM Table 2; adverse events of special interest provided regardless of attribution. PDF text archived at sources/keynote006_nejm_pdf.txt.,yes,
KEYNOTE-006,,solid,advanced melanoma,,pembrolizumab q3w,,,,,unclear,nephritis,strict irAE,277,1,0.4,any grade,primary_manuscript_or_appendix,primary_endpoint_stratum,https://www.nejm.org/doi/full/10.1056/NEJMoa1503093,NEJM Table 2; adverse events of special interest provided regardless of attribution. PDF text archived at sources/keynote006_nejm_pdf.txt.,yes,
KEYNOTE-006,,solid,advanced melanoma,,pembrolizumab q3w,,,,,unclear,nephritis,strict irAE,277,0,0.0,grade >=3,primary_manuscript_or_appendix,primary_endpoint_stratum,https://www.nejm.org/doi/full/10.1056/NEJMoa1503093,NEJM Table 2; adverse events of special interest provided regardless of attribution. PDF text archived at sources/keynote006_nejm_pdf.txt.,yes,
CheckMate 017,,solid,squamous NSCLC,,nivolumab,,,,,unclear,hypothyroidism,selected AE sensitivity,131,5,4.0,any grade,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC4681400/,"CheckMate 017 text and Table S9 description; selected AEs had potential immunologic causes. Grade 3 selected AEs included one each of tubulointerstitial nephritis, colitis, and pneumonitis.",no,selected AE or unspecified immunologic attribution
CheckMate 017,,solid,squamous NSCLC,,nivolumab,,,,,unclear,diarrhea/select GI event,selected AE sensitivity,131,10,8.0,any grade,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC4681400/,"CheckMate 017 text and Table S9 description; selected AEs had potential immunologic causes. Grade 3 selected AEs included one each of tubulointerstitial nephritis, colitis, and pneumonitis.",no,selected AE or unspecified immunologic attribution
CheckMate 017,,solid,squamous NSCLC,,nivolumab,,,,,unclear,colitis,selected AE sensitivity,131,1,0.8,grade >=3,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC4681400/,"CheckMate 017 text and Table S9 description; selected AEs had potential immunologic causes. Grade 3 selected AEs included one each of tubulointerstitial nephritis, colitis, and pneumonitis.",no,selected AE or unspecified immunologic attribution
CheckMate 017,,solid,squamous NSCLC,,nivolumab,,,,,unclear,pneumonitis,selected AE sensitivity,131,7,5.0,any grade,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC4681400/,"CheckMate 017 text and Table S9 description; selected AEs had potential immunologic causes. Grade 3 selected AEs included one each of tubulointerstitial nephritis, colitis, and pneumonitis.",no,selected AE or unspecified immunologic attribution
CheckMate 017,,solid,squamous NSCLC,,nivolumab,,,,,unclear,pneumonitis,selected AE sensitivity,131,1,0.8,grade >=3,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC4681400/,"CheckMate 017 text and Table S9 description; selected AEs had potential immunologic causes. Grade 3 selected AEs included one each of tubulointerstitial nephritis, colitis, and pneumonitis.",no,selected AE or unspecified immunologic attribution
CheckMate 017,,solid,squamous NSCLC,,nivolumab,,,,,unclear,increased creatinine/select renal event,selected AE sensitivity,131,4,3.0,any grade,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC4681400/,"CheckMate 017 text and Table S9 description; selected AEs had potential immunologic causes. Grade 3 selected AEs included one each of tubulointerstitial nephritis, colitis, and pneumonitis.",no,selected AE or unspecified immunologic attribution
CheckMate 017,,solid,squamous NSCLC,,nivolumab,,,,,unclear,tubulointerstitial nephritis,selected AE sensitivity,131,1,0.8,grade >=3,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC4681400/,"CheckMate 017 text and Table S9 description; selected AEs had potential immunologic causes. Grade 3 selected AEs included one each of tubulointerstitial nephritis, colitis, and pneumonitis.",no,selected AE or unspecified immunologic attribution
CheckMate 017,,solid,squamous NSCLC,,nivolumab,,,,,unclear,rash,selected AE sensitivity,131,5,4.0,any grade,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC4681400/,"CheckMate 017 text and Table S9 description; selected AEs had potential immunologic causes. Grade 3 selected AEs included one each of tubulointerstitial nephritis, colitis, and pneumonitis.",no,selected AE or unspecified immunologic attribution
CheckMate 057,,solid,nonsquamous NSCLC,,nivolumab,,,,,unclear,rash,selected AE sensitivity,287,26,9.0,any grade,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC5705936/,"CheckMate 057 text; any-grade treatment-related selected AEs reported for nivolumab versus docetaxel. Across selected AE categories, 11%-70% were treated with immune-modulating agents, generally glucocorticoids.",no,selected AE or unspecified immunologic attribution
CheckMate 057,,solid,nonsquamous NSCLC,,nivolumab,,,,,unclear,pruritus,selected AE sensitivity,287,23,8.0,any grade,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC5705936/,"CheckMate 057 text; any-grade treatment-related selected AEs reported for nivolumab versus docetaxel. Across selected AE categories, 11%-70% were treated with immune-modulating agents, generally glucocorticoids.",no,selected AE or unspecified immunologic attribution
CheckMate 057,,solid,nonsquamous NSCLC,,nivolumab,,,,,unclear,diarrhea/select GI event,selected AE sensitivity,287,23,8.0,any grade,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC5705936/,"CheckMate 057 text; any-grade treatment-related selected AEs reported for nivolumab versus docetaxel. Across selected AE categories, 11%-70% were treated with immune-modulating agents, generally glucocorticoids.",no,selected AE or unspecified immunologic attribution
CheckMate 057,,solid,nonsquamous NSCLC,,nivolumab,,,,,unclear,hypothyroidism,selected AE sensitivity,287,20,7.0,any grade,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC5705936/,"CheckMate 057 text; any-grade treatment-related selected AEs reported for nivolumab versus docetaxel. Across selected AE categories, 11%-70% were treated with immune-modulating agents, generally glucocorticoids.",no,selected AE or unspecified immunologic attribution
CheckMate 057,,solid,nonsquamous NSCLC,,nivolumab,,,,,unclear,increased ALT,selected AE sensitivity,287,9,3.0,any grade,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC5705936/,"CheckMate 057 text; any-grade treatment-related selected AEs reported for nivolumab versus docetaxel. Across selected AE categories, 11%-70% were treated with immune-modulating agents, generally glucocorticoids.",no,selected AE or unspecified immunologic attribution
CheckMate 057,,solid,nonsquamous NSCLC,,nivolumab,,,,,unclear,increased AST,selected AE sensitivity,287,9,3.0,any grade,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC5705936/,"CheckMate 057 text; any-grade treatment-related selected AEs reported for nivolumab versus docetaxel. Across selected AE categories, 11%-70% were treated with immune-modulating agents, generally glucocorticoids.",no,selected AE or unspecified immunologic attribution
CheckMate 057,,solid,nonsquamous NSCLC,,nivolumab,,,,,unclear,pneumonitis,selected AE sensitivity,287,9,3.0,any grade,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC5705936/,"CheckMate 057 text; any-grade treatment-related selected AEs reported for nivolumab versus docetaxel. Across selected AE categories, 11%-70% were treated with immune-modulating agents, generally glucocorticoids.",no,selected AE or unspecified immunologic attribution
CheckMate 141,,solid,recurrent/metastatic head and neck squamous-cell carcinoma,,nivolumab,,,,,unclear,select gastrointestinal events,selected AE sensitivity,236,16,6.8,any grade,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC5564292/,CheckMate 141 text; select AEs had potential immunologic causes and were reported as organ-category percentages.,no,selected AE or unspecified immunologic attribution
CheckMate 141,,solid,recurrent/metastatic head and neck squamous-cell carcinoma,,nivolumab,,,,,unclear,select skin events,selected AE sensitivity,236,37,15.7,any grade,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC5564292/,CheckMate 141 text; select AEs had potential immunologic causes and were reported as organ-category percentages.,no,selected AE or unspecified immunologic attribution
CheckMate 141,,solid,recurrent/metastatic head and neck squamous-cell carcinoma,,nivolumab,,,,,unclear,select endocrine events,selected AE sensitivity,236,18,7.6,any grade,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC5564292/,CheckMate 141 text; select AEs had potential immunologic causes and were reported as organ-category percentages.,no,selected AE or unspecified immunologic attribution
CheckMate 141,,solid,recurrent/metastatic head and neck squamous-cell carcinoma,,nivolumab,,,,,unclear,pneumonitis,selected AE sensitivity,236,5,2.1,any grade,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC5564292/,CheckMate 141 text; select AEs had potential immunologic causes and were reported as organ-category percentages.,no,selected AE or unspecified immunologic attribution
CheckMate 067,,solid,advanced melanoma,,nivolumab + ipilimumab,,,,,unclear,hypothyroidism,regulatory sensitivity,313,59,19.0,any grade,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125554s128lbl.pdf,FDA OPDIVO label Table 9 and Table 10 for CHECKMATE-067; pdfplumber extraction archived from sources/regulatory/opdivo_2024_s128_label.pdf. Diarrhea is retained as a GI toxicity proxy and not normalized to immune-mediated colitis.,no,regulatory or label source is not an original endpoint-compatible trial appendix
CheckMate 067,,solid,advanced melanoma,,nivolumab + ipilimumab,,,,,unclear,hypothyroidism,regulatory sensitivity,313,2,0.6,grade >=3,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125554s128lbl.pdf,FDA OPDIVO label Table 9 and Table 10 for CHECKMATE-067; pdfplumber extraction archived from sources/regulatory/opdivo_2024_s128_label.pdf. Diarrhea is retained as a GI toxicity proxy and not normalized to immune-mediated colitis.,no,regulatory or label source is not an original endpoint-compatible trial appendix
CheckMate 067,,solid,advanced melanoma,,nivolumab + ipilimumab,,,,,unclear,hyperthyroidism,regulatory sensitivity,313,34,11.0,any grade,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125554s128lbl.pdf,FDA OPDIVO label Table 9 and Table 10 for CHECKMATE-067; pdfplumber extraction archived from sources/regulatory/opdivo_2024_s128_label.pdf. Diarrhea is retained as a GI toxicity proxy and not normalized to immune-mediated colitis.,no,regulatory or label source is not an original endpoint-compatible trial appendix
CheckMate 067,,solid,advanced melanoma,,nivolumab + ipilimumab,,,,,unclear,hyperthyroidism,regulatory sensitivity,313,4,1.3,grade >=3,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125554s128lbl.pdf,FDA OPDIVO label Table 9 and Table 10 for CHECKMATE-067; pdfplumber extraction archived from sources/regulatory/opdivo_2024_s128_label.pdf. Diarrhea is retained as a GI toxicity proxy and not normalized to immune-mediated colitis.,no,regulatory or label source is not an original endpoint-compatible trial appendix
CheckMate 067,,solid,advanced melanoma,,nivolumab + ipilimumab,,,,,unclear,diarrhea,regulatory sensitivity,313,169,54.0,any grade,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125554s128lbl.pdf,FDA OPDIVO label Table 9 and Table 10 for CHECKMATE-067; pdfplumber extraction archived from sources/regulatory/opdivo_2024_s128_label.pdf. Diarrhea is retained as a GI toxicity proxy and not normalized to immune-mediated colitis.,no,regulatory or label source is not an original endpoint-compatible trial appendix
CheckMate 067,,solid,advanced melanoma,,nivolumab + ipilimumab,,,,,unclear,diarrhea,regulatory sensitivity,313,34,11.0,grade >=3,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125554s128lbl.pdf,FDA OPDIVO label Table 9 and Table 10 for CHECKMATE-067; pdfplumber extraction archived from sources/regulatory/opdivo_2024_s128_label.pdf. Diarrhea is retained as a GI toxicity proxy and not normalized to immune-mediated colitis.,no,regulatory or label source is not an original endpoint-compatible trial appendix
CheckMate 067,,solid,advanced melanoma,,nivolumab + ipilimumab,,,,,unclear,increased ALT,regulatory sensitivity,313,172,55.0,any grade,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125554s128lbl.pdf,FDA OPDIVO label Table 9 and Table 10 for CHECKMATE-067; pdfplumber extraction archived from sources/regulatory/opdivo_2024_s128_label.pdf. Diarrhea is retained as a GI toxicity proxy and not normalized to immune-mediated colitis.,no,regulatory or label source is not an original endpoint-compatible trial appendix
CheckMate 067,,solid,advanced melanoma,,nivolumab + ipilimumab,,,,,unclear,increased ALT,regulatory sensitivity,313,50,16.0,grade >=3,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125554s128lbl.pdf,FDA OPDIVO label Table 9 and Table 10 for CHECKMATE-067; pdfplumber extraction archived from sources/regulatory/opdivo_2024_s128_label.pdf. Diarrhea is retained as a GI toxicity proxy and not normalized to immune-mediated colitis.,no,regulatory or label source is not an original endpoint-compatible trial appendix
CheckMate 067,,solid,advanced melanoma,,nivolumab + ipilimumab,,,,,unclear,increased AST,regulatory sensitivity,313,163,52.0,any grade,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125554s128lbl.pdf,FDA OPDIVO label Table 9 and Table 10 for CHECKMATE-067; pdfplumber extraction archived from sources/regulatory/opdivo_2024_s128_label.pdf. Diarrhea is retained as a GI toxicity proxy and not normalized to immune-mediated colitis.,no,regulatory or label source is not an original endpoint-compatible trial appendix
CheckMate 067,,solid,advanced melanoma,,nivolumab + ipilimumab,,,,,unclear,increased AST,regulatory sensitivity,313,41,13.0,grade >=3,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125554s128lbl.pdf,FDA OPDIVO label Table 9 and Table 10 for CHECKMATE-067; pdfplumber extraction archived from sources/regulatory/opdivo_2024_s128_label.pdf. Diarrhea is retained as a GI toxicity proxy and not normalized to immune-mediated colitis.,no,regulatory or label source is not an original endpoint-compatible trial appendix
CheckMate 067,,solid,advanced melanoma,,nivolumab,,,,,unclear,hypothyroidism,regulatory sensitivity,313,34,11.0,any grade,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125554s128lbl.pdf,FDA OPDIVO label Table 9 and Table 10 for CHECKMATE-067; pdfplumber extraction archived from sources/regulatory/opdivo_2024_s128_label.pdf. Diarrhea is retained as a GI toxicity proxy and not normalized to immune-mediated colitis.,no,regulatory or label source is not an original endpoint-compatible trial appendix
CheckMate 067,,solid,advanced melanoma,,nivolumab,,,,,unclear,hypothyroidism,regulatory sensitivity,313,0,0.0,grade >=3,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125554s128lbl.pdf,FDA OPDIVO label Table 9 and Table 10 for CHECKMATE-067; pdfplumber extraction archived from sources/regulatory/opdivo_2024_s128_label.pdf. Diarrhea is retained as a GI toxicity proxy and not normalized to immune-mediated colitis.,no,regulatory or label source is not an original endpoint-compatible trial appendix
CheckMate 067,,solid,advanced melanoma,,nivolumab,,,,,unclear,hyperthyroidism,regulatory sensitivity,313,19,6.0,any grade,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125554s128lbl.pdf,FDA OPDIVO label Table 9 and Table 10 for CHECKMATE-067; pdfplumber extraction archived from sources/regulatory/opdivo_2024_s128_label.pdf. Diarrhea is retained as a GI toxicity proxy and not normalized to immune-mediated colitis.,no,regulatory or label source is not an original endpoint-compatible trial appendix
CheckMate 067,,solid,advanced melanoma,,nivolumab,,,,,unclear,hyperthyroidism,regulatory sensitivity,313,0,0.0,grade >=3,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125554s128lbl.pdf,FDA OPDIVO label Table 9 and Table 10 for CHECKMATE-067; pdfplumber extraction archived from sources/regulatory/opdivo_2024_s128_label.pdf. Diarrhea is retained as a GI toxicity proxy and not normalized to immune-mediated colitis.,no,regulatory or label source is not an original endpoint-compatible trial appendix
CheckMate 067,,solid,advanced melanoma,,nivolumab,,,,,unclear,diarrhea,regulatory sensitivity,313,113,36.0,any grade,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125554s128lbl.pdf,FDA OPDIVO label Table 9 and Table 10 for CHECKMATE-067; pdfplumber extraction archived from sources/regulatory/opdivo_2024_s128_label.pdf. Diarrhea is retained as a GI toxicity proxy and not normalized to immune-mediated colitis.,no,regulatory or label source is not an original endpoint-compatible trial appendix
CheckMate 067,,solid,advanced melanoma,,nivolumab,,,,,unclear,diarrhea,regulatory sensitivity,313,16,5.0,grade >=3,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125554s128lbl.pdf,FDA OPDIVO label Table 9 and Table 10 for CHECKMATE-067; pdfplumber extraction archived from sources/regulatory/opdivo_2024_s128_label.pdf. Diarrhea is retained as a GI toxicity proxy and not normalized to immune-mediated colitis.,no,regulatory or label source is not an original endpoint-compatible trial appendix
CheckMate 067,,solid,advanced melanoma,,nivolumab,,,,,unclear,increased ALT,regulatory sensitivity,313,78,25.0,any grade,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125554s128lbl.pdf,FDA OPDIVO label Table 9 and Table 10 for CHECKMATE-067; pdfplumber extraction archived from sources/regulatory/opdivo_2024_s128_label.pdf. Diarrhea is retained as a GI toxicity proxy and not normalized to immune-mediated colitis.,no,regulatory or label source is not an original endpoint-compatible trial appendix
CheckMate 067,,solid,advanced melanoma,,nivolumab,,,,,unclear,increased ALT,regulatory sensitivity,313,9,3.0,grade >=3,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125554s128lbl.pdf,FDA OPDIVO label Table 9 and Table 10 for CHECKMATE-067; pdfplumber extraction archived from sources/regulatory/opdivo_2024_s128_label.pdf. Diarrhea is retained as a GI toxicity proxy and not normalized to immune-mediated colitis.,no,regulatory or label source is not an original endpoint-compatible trial appendix
CheckMate 067,,solid,advanced melanoma,,nivolumab,,,,,unclear,increased AST,regulatory sensitivity,313,91,29.0,any grade,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125554s128lbl.pdf,FDA OPDIVO label Table 9 and Table 10 for CHECKMATE-067; pdfplumber extraction archived from sources/regulatory/opdivo_2024_s128_label.pdf. Diarrhea is retained as a GI toxicity proxy and not normalized to immune-mediated colitis.,no,regulatory or label source is not an original endpoint-compatible trial appendix
CheckMate 067,,solid,advanced melanoma,,nivolumab,,,,,unclear,increased AST,regulatory sensitivity,313,12,3.7,grade >=3,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125554s128lbl.pdf,FDA OPDIVO label Table 9 and Table 10 for CHECKMATE-067; pdfplumber extraction archived from sources/regulatory/opdivo_2024_s128_label.pdf. Diarrhea is retained as a GI toxicity proxy and not normalized to immune-mediated colitis.,no,regulatory or label source is not an original endpoint-compatible trial appendix
KEYNOTE-564,,solid,adjuvant renal cell carcinoma,,pembrolizumab,,,,,unclear,diarrhea/colitis composite,regulatory sensitivity,488,132,27.0,any grade,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125514s128lbl.pdf,FDA KEYTRUDA label Table 39 and Table 40 for KEYNOTE-564. Composite terms follow label footnotes; hepatotoxicity includes ALT/AST/bilirubin/liver injury terms.,no,regulatory or label source is not an original endpoint-compatible trial appendix
KEYNOTE-564,,solid,adjuvant renal cell carcinoma,,pembrolizumab,,,,,unclear,diarrhea/colitis composite,regulatory sensitivity,488,13,2.7,grade >=3,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125514s128lbl.pdf,FDA KEYTRUDA label Table 39 and Table 40 for KEYNOTE-564. Composite terms follow label footnotes; hepatotoxicity includes ALT/AST/bilirubin/liver injury terms.,no,regulatory or label source is not an original endpoint-compatible trial appendix
KEYNOTE-564,,solid,adjuvant renal cell carcinoma,,pembrolizumab,,,,,unclear,hypothyroidism,regulatory sensitivity,488,102,21.0,any grade,regulatory_trial_table,sensitivity_or_audit,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125514s128lbl.pdf,FDA KEYTRUDA label Table 39 and Table 40 for KEYNOTE-564. Composite terms follow label footnotes; hepatotoxicity includes ALT/AST/bilirubin/liver injury terms.,no,regulatory or label source is not an original endpoint-compatible trial appendix
